attendance_pct,study_hours_per_day,sleep_hours,assignment_score,previous_score,extracurricular_hours,internet_access,at_risk
70.1,0.0,6.0,80.4,74.4,0.0,Yes,1
73.6,0.0,7.2,74.1,59.9,2.2,Yes,1
73.4,3.9,7.0,65.3,65.5,0.5,Yes,0
63.6,2.9,6.9,56.2,77.1,0.5,Yes,0
83.8,3.2,6.9,76.0,64.4,0.2,No,0
72.4,0.9,7.1,53.8,73.6,2.7,No,1
78.1,2.8,7.9,78.4,95.5,2.7,Yes,0
83.8,5.6,8.5,100.0,67.3,4.0,Yes,0
83.4,4.0,7.0,92.3,88.9,1.0,Yes,0
86.0,3.0,7.9,82.8,78.9,2.1,Yes,0
76.8,2.2,6.2,70.7,46.5,0.3,Yes,1
72.9,2.2,7.8,42.9,52.4,1.4,Yes,1
77.0,0.0,6.2,52.2,56.7,1.2,Yes,1
57.8,3.2,8.2,91.2,56.3,2.4,Yes,0
60.6,4.0,9.4,60.2,68.6,3.0,Yes,0
62.1,0.6,6.9,61.5,79.8,3.0,Yes,1
66.0,1.9,4.6,69.5,90.1,0.8,Yes,0
82.8,1.2,6.4,56.1,74.9,3.0,Yes,0
67.1,1.4,8.4,53.6,62.9,1.7,Yes,1
73.5,2.9,7.6,71.2,36.7,1.4,Yes,1
93.6,0.0,7.3,58.6,71.1,0.9,No,1
73.7,3.7,8.1,60.9,70.4,1.1,Yes,0
86.9,3.9,7.5,60.3,72.9,3.9,No,0
66.8,2.4,8.3,79.8,100.0,2.2,Yes,0
75.5,0.0,8.0,68.5,89.8,2.0,Yes,0
66.6,1.4,8.7,69.3,82.6,1.5,Yes,0
73.9,4.5,7.4,81.0,54.6,4.7,Yes,0
88.1,0.0,8.0,69.9,61.8,3.4,Yes,1
57.3,2.3,6.7,67.8,68.5,0.9,Yes,1
83.2,1.1,6.3,79.1,57.6,1.5,Yes,1
80.9,3.9,8.9,82.0,78.0,1.5,Yes,0
70.9,1.9,7.2,69.8,75.7,2.0,No,1
60.6,3.4,7.9,73.2,52.6,1.0,No,1
78.9,3.6,7.1,60.3,89.1,2.3,Yes,0
71.6,5.4,6.4,59.1,71.6,3.5,Yes,0
80.8,2.5,7.0,83.5,42.3,0.2,No,0
78.3,3.3,8.6,78.7,69.2,0.4,Yes,0
97.2,0.7,7.6,78.8,74.5,1.2,Yes,0
75.1,4.5,5.1,76.2,85.6,1.3,Yes,0
65.7,1.7,6.8,72.7,64.6,4.2,Yes,1
80.2,2.0,9.0,82.4,83.2,3.0,Yes,0
80.6,2.8,6.8,86.0,73.0,2.9,Yes,0
94.3,0.6,5.0,85.7,49.0,1.5,Yes,1
88.0,3.1,9.1,70.5,47.4,1.5,Yes,1
82.3,4.2,7.8,92.8,88.0,0.1,Yes,0
95.6,3.2,6.9,75.4,89.1,2.7,Yes,0
63.7,0.6,6.6,81.5,75.2,2.4,Yes,1
70.3,2.6,8.2,76.2,93.9,3.3,No,0
66.9,3.8,6.4,75.7,86.9,1.5,Yes,0
73.3,0.2,8.3,61.0,80.9,1.6,Yes,0
61.5,1.3,7.6,82.5,55.4,2.0,Yes,0
85.6,4.0,7.3,100.0,97.7,2.9,Yes,0
75.3,3.2,7.2,66.4,78.6,0.0,Yes,0
60.4,3.4,6.8,73.1,63.8,2.7,Yes,0
65.8,5.4,8.2,65.3,59.3,1.8,Yes,0
81.8,3.5,6.0,64.7,74.1,0.5,Yes,0
88.1,3.7,5.2,95.2,43.3,0.0,Yes,0
100.0,6.6,7.7,61.9,81.2,1.6,Yes,0
100.0,2.5,7.7,64.9,54.7,3.5,Yes,0
83.0,1.7,7.5,48.2,75.9,3.8,Yes,0
66.1,3.4,7.4,60.6,61.7,2.2,Yes,1
52.4,3.4,6.6,46.4,65.8,4.2,Yes,0
81.2,2.1,7.9,81.5,57.9,1.7,Yes,0
68.2,1.4,6.9,100.0,67.4,2.9,Yes,0
73.0,6.0,6.5,66.5,100.0,1.3,Yes,0
70.7,3.3,6.7,47.0,92.2,1.2,Yes,0
76.3,1.8,9.2,85.5,75.7,1.0,Yes,0
90.8,4.1,5.1,61.1,69.6,0.0,Yes,0
79.9,2.6,7.5,91.5,83.5,3.3,Yes,0
76.1,2.4,5.2,67.8,88.1,1.0,Yes,0
65.6,3.6,6.9,62.5,56.7,0.8,Yes,1
57.9,1.0,6.5,69.3,68.8,0.4,Yes,1
72.2,3.3,4.7,83.4,40.8,1.6,Yes,0
77.4,5.5,7.4,68.6,88.0,3.9,Yes,0
99.2,3.5,6.6,64.5,100.0,4.3,Yes,0
79.6,2.3,4.7,69.0,71.3,0.0,Yes,0
89.8,2.1,7.9,52.9,36.0,1.4,No,1
72.0,2.2,8.6,78.0,79.7,0.6,Yes,0
63.8,2.4,8.6,45.2,55.5,3.0,Yes,1
66.4,2.3,7.4,65.3,59.4,2.1,Yes,1
69.3,4.1,7.1,83.4,80.0,1.0,Yes,0
100.0,0.4,8.5,76.5,74.1,1.9,No,0
68.1,4.0,8.9,80.9,62.2,1.2,Yes,0
88.1,2.3,8.2,71.0,59.6,3.7,Yes,1
67.2,3.3,6.0,89.5,72.0,2.5,No,0
89.2,1.2,7.2,85.9,63.4,2.6,Yes,0
82.6,4.7,7.5,78.7,52.3,0.0,Yes,0
76.1,4.5,5.0,85.9,64.7,1.7,Yes,0
77.5,4.1,7.5,83.3,75.4,4.3,Yes,0
70.1,0.7,9.5,65.4,67.2,3.4,Yes,1
83.4,4.0,7.7,51.8,47.4,0.0,Yes,1
72.5,3.4,8.6,78.3,85.8,1.4,No,0
63.3,0.6,7.2,80.2,26.2,0.4,Yes,1
62.7,2.8,6.9,88.4,62.9,3.9,Yes,1
80.1,3.3,7.4,58.0,60.1,2.1,Yes,0
96.9,3.6,6.1,58.4,72.4,0.9,Yes,0
79.9,3.0,5.9,78.9,79.0,1.8,No,0
76.6,3.2,8.4,70.9,88.0,0.0,Yes,0
81.4,4.9,8.5,43.7,58.6,0.5,Yes,0
93.7,4.5,5.9,77.6,79.4,1.8,Yes,0
80.6,0.0,8.1,44.2,73.1,2.8,No,1
73.1,2.4,6.9,57.8,42.6,0.0,No,1
91.3,2.6,7.4,92.3,100.0,1.3,Yes,0
83.1,0.3,7.5,99.4,47.0,3.0,Yes,1
96.4,2.9,8.1,53.8,76.7,0.1,Yes,0
80.2,4.5,7.1,67.1,76.2,2.1,Yes,0
63.3,1.3,8.6,72.6,74.4,1.9,No,1
61.6,3.3,7.3,98.7,62.1,3.9,Yes,0
97.8,1.5,7.7,64.6,83.2,1.5,Yes,0
98.7,1.9,6.1,64.8,45.0,1.6,No,1
75.8,4.9,9.4,95.2,68.9,2.8,No,0
73.4,2.0,7.5,66.4,61.0,0.2,Yes,0
95.5,3.4,7.8,82.8,59.2,1.5,No,0
64.7,0.2,5.2,49.8,76.9,1.3,Yes,1
67.3,5.4,6.1,69.4,87.2,1.6,Yes,0
85.7,3.6,8.4,47.1,64.5,2.8,Yes,0
73.3,2.5,7.3,56.2,82.5,2.5,No,0
77.9,3.6,4.9,84.6,70.8,0.9,No,0
76.0,0.8,8.1,71.3,55.7,2.0,Yes,0
82.1,4.5,6.4,67.2,65.9,3.6,Yes,0
94.9,2.3,8.6,60.8,65.2,0.8,Yes,0
79.1,2.5,6.9,68.7,58.9,2.0,Yes,0
85.7,2.1,7.2,76.5,76.9,1.6,Yes,0
53.4,2.0,8.3,86.7,73.8,1.7,Yes,0
77.4,3.8,6.0,32.6,44.5,0.0,Yes,1
67.9,3.2,5.9,59.5,43.6,3.5,Yes,1
63.4,3.7,6.8,74.4,76.8,0.9,Yes,0
67.5,2.8,7.9,70.5,57.0,3.0,Yes,0
74.0,3.5,5.5,78.1,74.8,1.1,No,0
89.0,2.2,5.2,76.0,82.5,1.0,Yes,0
62.1,5.9,7.9,67.4,49.7,3.3,Yes,0
78.4,0.6,6.3,64.1,47.4,3.0,Yes,1
72.2,4.6,6.6,68.3,96.8,2.1,No,0
74.1,4.7,5.0,89.2,75.6,2.7,Yes,0
90.0,1.6,6.3,61.0,63.3,1.5,Yes,0
84.5,5.9,7.0,71.1,55.1,1.8,Yes,0
94.0,4.2,8.0,74.8,61.8,1.0,No,0
76.1,4.2,6.2,95.4,51.0,2.9,Yes,0
69.6,2.8,8.8,67.5,84.1,1.0,Yes,0
75.3,2.5,6.2,86.4,57.6,3.6,Yes,0
80.9,2.5,6.2,90.5,87.5,1.4,Yes,0
80.1,3.3,8.7,71.0,63.6,1.8,No,0
65.0,4.8,7.2,68.8,53.3,2.7,No,0
79.1,3.1,6.4,67.1,63.2,1.8,Yes,0
80.7,1.5,6.8,68.2,28.0,1.4,Yes,1
100.0,4.0,8.5,84.8,68.1,1.8,No,0
100.0,4.1,8.6,75.5,67.3,2.9,No,0
67.8,3.7,6.1,75.5,83.2,1.0,Yes,0
74.6,3.8,7.0,55.1,39.8,1.6,Yes,0
60.4,2.4,7.1,57.5,88.6,1.8,Yes,0
70.9,1.5,5.9,100.0,83.1,2.8,No,0
81.8,1.6,6.9,69.3,90.0,1.7,Yes,0
92.5,0.5,7.0,60.4,69.2,4.0,Yes,1
69.3,3.1,8.3,93.5,86.2,1.6,Yes,0
70.2,2.7,8.3,76.2,46.5,1.5,Yes,0
52.2,2.2,6.6,80.7,81.4,1.6,Yes,0
76.0,0.0,6.8,69.9,57.7,0.2,Yes,1
65.3,1.1,7.7,67.2,43.6,0.6,Yes,1
71.6,4.4,6.4,69.5,52.0,1.2,Yes,0
67.5,1.9,7.6,51.3,70.1,3.2,Yes,1
76.9,3.3,6.9,70.7,56.8,1.8,Yes,0
56.9,0.9,5.9,76.4,76.0,1.2,Yes,1
60.4,4.8,5.9,99.8,41.1,3.3,Yes,0
100.0,2.6,8.6,73.3,36.0,3.7,Yes,0
62.6,3.2,6.8,37.0,92.0,3.3,Yes,0
64.8,6.1,8.8,70.6,84.5,0.8,Yes,0
100.0,4.9,6.4,100.0,53.2,1.2,Yes,0
100.0,2.4,7.3,85.0,70.0,4.0,No,0
63.9,2.0,9.6,59.8,86.3,2.1,No,1
73.6,2.3,5.8,80.9,76.7,1.5,Yes,0
82.1,3.5,4.9,60.9,72.4,2.7,Yes,0
98.7,2.7,8.4,51.7,87.5,3.0,Yes,0
66.2,2.2,6.1,66.8,58.3,1.1,Yes,0
75.1,4.9,7.0,73.4,70.5,2.1,No,0
87.3,2.6,6.4,43.9,69.7,2.9,Yes,0
83.2,6.0,7.3,54.8,65.6,0.4,Yes,0
73.5,2.9,6.0,72.2,63.8,1.8,Yes,0
76.4,5.3,6.8,65.9,71.2,0.5,Yes,0
61.5,3.3,7.5,77.9,70.6,0.6,No,0
75.1,4.1,5.9,53.8,53.2,1.1,Yes,1
74.8,1.8,6.2,82.7,82.8,2.4,Yes,0
80.8,1.6,6.6,54.2,54.4,1.4,Yes,1
71.3,3.4,5.4,96.6,66.5,1.0,No,0
83.7,4.2,6.5,46.3,65.3,1.9,Yes,0
90.2,2.9,7.1,55.6,75.7,0.4,Yes,0
79.9,1.0,6.6,78.3,36.1,2.3,Yes,1
82.2,0.9,6.7,97.0,84.3,3.2,Yes,0
78.6,0.8,7.0,76.7,59.2,1.7,Yes,1
78.0,0.3,6.3,80.4,89.5,1.6,Yes,0
69.3,3.0,7.8,72.3,62.3,2.2,Yes,0
81.8,4.4,8.6,56.6,69.2,0.0,Yes,0
76.8,2.8,6.5,64.6,100.0,2.4,Yes,0
100.0,0.0,7.5,53.8,65.6,5.5,Yes,0
96.9,2.5,6.7,52.8,89.8,1.7,Yes,0
82.6,2.6,7.4,78.0,70.6,1.7,Yes,0
68.8,5.7,8.7,55.2,76.6,2.7,Yes,0
64.7,0.8,7.6,76.8,71.1,3.8,Yes,1
92.3,2.3,5.0,52.5,83.6,3.0,Yes,0
81.2,5.2,7.5,76.4,59.0,0.0,Yes,0
83.8,3.4,8.4,64.7,54.3,2.5,Yes,0
57.1,3.6,6.8,93.1,59.8,4.9,Yes,0
89.1,3.0,8.1,76.9,71.6,2.5,Yes,0
83.5,3.3,6.2,90.5,66.5,0.4,No,0
64.7,3.9,5.4,60.7,81.4,2.1,Yes,0
72.3,1.7,7.2,72.8,90.9,0.3,No,0
81.2,4.0,5.1,57.3,54.4,3.3,Yes,0
78.6,0.9,6.7,65.8,58.3,0.7,Yes,0
74.5,3.3,8.4,68.1,47.0,1.9,Yes,0
76.8,3.1,4.9,61.1,100.0,0.8,Yes,0
75.0,1.9,5.6,53.8,74.9,1.1,Yes,1
79.8,2.8,5.9,50.8,77.7,3.6,Yes,0
95.7,1.9,6.9,36.9,48.6,1.9,No,0
47.2,1.3,6.6,56.2,70.0,1.1,Yes,1
75.2,2.3,8.5,81.4,78.1,0.4,No,0
80.1,1.3,8.0,48.0,66.0,0.0,Yes,1
81.6,3.3,7.5,51.5,87.2,0.3,Yes,0
73.5,1.2,7.2,98.9,100.0,1.9,Yes,0
56.9,3.8,7.4,62.5,54.8,3.0,Yes,1
81.9,1.1,6.1,76.8,53.6,1.1,No,1
98.7,2.0,7.9,81.6,56.0,3.7,No,0
59.6,1.9,5.8,81.9,95.7,0.9,No,0
88.4,4.7,7.9,49.2,86.7,1.5,No,0
74.1,3.3,8.3,68.5,67.8,0.5,Yes,0
77.3,2.5,7.2,47.7,70.6,3.0,Yes,0
65.4,3.5,6.8,100.0,56.9,4.3,Yes,0
74.0,0.0,7.4,48.1,84.2,0.0,Yes,1
93.6,2.7,4.0,56.3,63.9,1.4,Yes,0
85.0,5.6,7.3,56.4,65.8,3.3,Yes,0
98.8,3.0,6.9,49.6,79.7,0.1,Yes,0
92.1,2.9,6.9,92.3,67.0,2.5,Yes,0
83.3,3.6,7.8,100.0,66.2,3.3,Yes,0
98.9,4.1,6.9,64.9,70.2,1.9,Yes,0
83.3,0.0,5.7,52.2,82.7,2.5,Yes,0
87.9,0.4,6.8,38.4,96.3,3.9,Yes,0
74.4,3.1,7.1,68.3,79.4,4.1,Yes,0
78.8,1.8,7.1,67.3,82.9,1.7,Yes,0
69.6,4.6,7.2,62.2,66.8,1.2,Yes,0
89.9,2.4,8.1,75.3,58.7,0.7,Yes,0
63.9,0.1,5.8,77.9,80.5,3.0,Yes,1
87.4,1.0,7.2,76.8,72.7,0.2,Yes,0
75.7,0.0,8.4,67.3,47.2,1.5,Yes,1
92.1,2.5,5.1,55.5,64.8,1.9,Yes,0
87.0,2.5,7.2,82.0,68.7,1.2,Yes,0
99.8,2.2,6.4,72.2,61.8,2.1,Yes,0
86.8,4.3,6.6,85.3,93.7,4.9,Yes,0
59.1,4.5,6.0,83.9,77.7,1.7,Yes,0
77.2,2.6,6.8,50.7,92.0,1.3,Yes,0
63.9,0.0,9.0,50.5,74.2,3.0,Yes,1
71.8,3.7,5.6,60.7,71.3,2.1,Yes,0
96.1,3.6,5.7,56.2,55.0,3.5,Yes,0
85.7,3.2,5.6,83.3,70.2,2.0,Yes,0
69.6,4.2,8.9,77.3,70.2,1.5,Yes,0
65.8,1.2,6.5,88.5,48.1,0.0,Yes,1
78.4,5.6,7.0,77.9,61.4,0.0,Yes,0
63.4,1.5,6.6,75.1,64.8,0.0,Yes,0
69.9,3.8,6.0,90.0,76.6,2.3,Yes,0
81.7,0.4,6.7,79.0,77.4,0.2,Yes,0
91.9,1.5,9.7,73.0,60.7,3.3,Yes,0
85.3,4.9,8.5,94.2,77.5,1.8,Yes,0
50.5,2.4,6.1,73.7,67.1,1.5,Yes,1
81.7,4.0,7.7,67.4,24.1,0.8,Yes,0
78.9,3.1,6.1,59.4,62.2,2.5,Yes,1
83.0,2.7,5.0,82.5,87.3,0.8,Yes,0
97.4,4.7,8.1,90.6,43.1,0.6,Yes,0
53.2,2.5,8.3,71.2,71.8,3.2,Yes,1
70.9,0.3,8.2,91.6,95.4,2.2,Yes,0
85.1,1.7,6.5,42.4,57.8,1.5,Yes,0
59.0,3.6,6.8,71.2,70.0,2.6,Yes,1
95.7,3.4,7.8,71.4,49.1,1.8,Yes,0
82.4,0.6,7.4,61.1,96.0,2.3,Yes,0
88.2,1.8,6.6,100.0,68.7,0.8,Yes,0
71.1,2.0,5.2,71.0,70.7,4.3,Yes,1
87.8,2.3,7.1,65.9,91.7,1.1,Yes,0
90.8,0.9,8.2,72.4,80.6,3.7,Yes,0
80.8,1.9,5.7,42.0,56.0,1.6,Yes,1
80.8,1.8,7.7,60.6,59.6,2.8,Yes,0
81.2,3.9,7.4,86.7,77.9,2.7,Yes,0
67.6,3.9,7.8,62.6,60.0,3.2,Yes,0
76.2,2.6,8.0,59.6,36.1,0.8,Yes,1
76.2,2.3,6.2,91.6,69.1,3.1,Yes,0
82.6,3.0,5.2,92.1,46.3,4.0,Yes,0
90.0,1.7,6.4,79.8,95.9,1.5,Yes,0
65.3,1.2,8.0,65.2,72.8,1.8,Yes,1
76.5,1.5,6.4,68.4,55.5,1.2,Yes,1
95.8,1.9,6.2,59.9,58.8,1.4,No,0
69.1,1.2,5.0,57.1,39.8,3.9,Yes,1
68.1,3.0,8.9,56.3,52.4,0.6,Yes,1
80.4,3.8,7.9,62.7,86.3,0.7,Yes,0
88.1,0.6,7.8,56.5,100.0,3.7,Yes,0
78.1,2.8,8.1,48.5,81.6,2.5,Yes,0
93.9,2.5,7.6,75.3,68.5,4.3,Yes,0
88.3,3.3,6.7,75.5,63.1,1.3,Yes,0
88.1,2.8,6.8,97.5,54.7,2.0,Yes,0
84.6,0.8,6.5,62.0,100.0,1.0,No,0
100.0,1.0,9.9,76.4,67.0,2.0,Yes,0
75.5,2.8,7.6,76.7,100.0,0.0,Yes,0
54.0,4.2,6.5,68.2,92.3,2.6,No,0
97.3,0.0,7.5,83.2,42.1,2.2,Yes,0
72.5,3.3,5.9,83.6,59.3,1.7,Yes,1
79.3,4.5,8.7,76.9,59.3,1.3,Yes,0
93.7,2.6,6.3,68.2,68.7,0.7,Yes,0
58.8,3.6,7.6,66.6,69.0,2.7,Yes,0
63.0,1.8,8.2,51.5,100.0,0.4,No,1
58.8,2.6,7.4,59.9,52.8,2.4,Yes,1
68.5,0.5,7.1,62.7,73.7,4.3,Yes,1
83.3,0.0,7.0,55.1,79.9,3.6,Yes,0
84.3,4.1,6.9,78.6,70.0,0.0,Yes,0
81.3,1.4,6.4,89.9,71.8,1.2,Yes,0
61.0,2.2,6.5,58.4,53.3,2.3,Yes,1
50.3,0.9,8.6,76.3,71.7,1.7,No,1
78.7,0.8,6.9,56.5,78.2,0.1,Yes,1
72.3,2.6,6.1,67.4,75.2,2.3,Yes,0
83.5,1.8,6.4,61.6,79.1,1.8,Yes,0
86.4,3.3,8.2,81.0,92.6,4.1,Yes,0
79.7,3.4,7.7,61.8,85.0,1.5,No,0
87.1,3.2,7.6,87.2,71.1,3.2,Yes,0
80.8,3.1,6.7,68.3,51.3,0.3,Yes,0
84.4,5.0,7.6,62.3,60.4,0.6,Yes,0
69.5,1.3,6.3,53.2,66.5,2.7,Yes,1
75.8,2.7,6.7,75.8,74.0,3.1,Yes,0
80.4,4.4,8.1,85.4,62.3,0.7,Yes,0
87.8,4.6,8.0,76.1,55.0,1.8,Yes,0
73.3,0.8,5.9,100.0,51.0,0.1,Yes,1
84.3,2.4,6.1,93.4,43.6,1.6,Yes,0
74.8,4.7,7.1,67.4,66.2,2.8,Yes,0
76.6,3.5,8.9,67.2,46.5,1.3,Yes,0
88.0,3.1,4.9,79.0,54.0,1.5,No,0
54.1,2.5,7.3,59.4,63.7,0.4,Yes,1
62.4,2.3,5.5,89.5,48.6,1.0,Yes,1
60.2,3.2,6.3,77.4,76.1,3.9,Yes,0
50.0,2.4,6.6,75.8,81.8,1.9,Yes,0
69.9,2.7,6.5,82.3,61.2,0.6,Yes,0
87.0,2.9,6.4,97.8,63.0,1.4,Yes,0
74.6,1.9,7.0,74.6,78.6,0.0,Yes,0
80.4,3.5,6.4,70.3,58.6,0.6,Yes,0
91.1,6.9,5.4,94.6,57.5,3.4,Yes,0
93.9,0.3,7.9,86.5,89.1,1.6,Yes,0
77.2,3.3,7.8,67.2,84.1,4.1,Yes,0
94.2,1.7,7.9,72.1,79.6,1.7,Yes,0
79.1,3.6,5.3,74.9,84.8,1.8,Yes,0
68.0,2.9,7.3,77.4,38.4,2.6,Yes,1
70.9,3.9,7.7,51.7,91.7,0.0,Yes,0
60.2,4.4,5.9,48.9,76.3,2.0,Yes,1
67.3,3.1,7.0,58.7,86.2,1.7,Yes,0
73.7,4.4,6.9,57.5,76.2,3.6,Yes,0
87.6,0.0,9.0,62.3,70.8,3.0,Yes,1
98.6,5.0,9.1,81.5,65.6,0.4,Yes,0
61.4,3.3,5.2,69.5,75.9,3.3,Yes,1
82.7,4.3,9.7,74.9,65.0,1.5,Yes,0
65.5,1.1,6.0,53.6,83.9,0.7,No,1
83.7,1.6,8.1,65.1,44.6,2.0,Yes,1
76.4,3.0,8.1,80.8,61.3,1.6,Yes,0
56.0,2.8,5.9,80.9,100.0,3.6,Yes,0
89.1,3.2,7.5,61.1,60.0,2.2,Yes,0
70.7,4.3,6.9,74.4,66.2,2.0,Yes,0
71.6,0.3,7.6,100.0,55.9,2.9,Yes,1
65.2,4.2,7.3,71.7,75.4,3.1,Yes,0
70.1,2.8,8.3,61.6,58.2,2.7,Yes,1
83.1,2.5,7.1,69.4,67.0,3.5,Yes,0
75.7,0.7,6.8,73.4,83.6,2.5,No,1
81.9,3.5,8.2,69.7,58.8,2.0,Yes,0
82.3,0.0,7.6,71.5,82.6,3.3,Yes,0
93.8,3.7,7.8,50.3,83.2,1.7,Yes,0
73.9,0.7,6.3,57.6,86.9,1.8,Yes,0
60.3,2.9,5.9,69.8,72.2,3.9,Yes,0
90.8,2.6,6.4,69.5,100.0,3.7,No,0
74.0,4.4,6.3,63.5,86.9,1.8,Yes,0
91.4,2.5,7.9,69.3,75.2,1.3,Yes,0
82.6,1.8,8.1,72.9,56.0,3.6,Yes,0
76.4,2.1,6.8,85.3,68.4,2.8,Yes,0
82.2,4.6,8.6,70.5,92.8,2.2,Yes,0
100.0,3.6,8.5,78.0,97.4,1.4,No,0
100.0,2.3,7.3,63.9,93.7,2.2,Yes,0
78.8,2.5,6.1,80.6,82.6,1.8,Yes,0
79.9,0.6,8.7,77.6,49.9,1.0,Yes,0
90.9,3.3,6.9,85.0,77.8,2.0,Yes,0
67.9,0.3,7.1,82.7,50.1,2.1,Yes,0
82.0,3.9,6.6,80.8,46.2,1.3,Yes,0
77.7,3.0,6.0,70.5,73.8,2.9,Yes,0
81.8,6.1,5.4,75.7,78.4,3.3,Yes,0
68.0,1.3,7.7,88.0,84.5,3.0,Yes,0
58.9,2.7,6.1,62.2,78.0,1.5,Yes,0
53.1,5.3,10.0,62.6,78.5,2.7,Yes,0
64.6,4.5,5.8,74.7,54.2,1.9,Yes,0
72.5,1.8,5.6,78.2,68.3,0.3,Yes,0
74.5,3.1,7.6,59.6,45.9,2.6,Yes,1
